SOC_2020_ext,SOC2020_ext_SUG_title,INDEXOCC_-_natural_word_order
5241/03,Installation and maintenance electricians,Senior electrical engineer
5241/03,Installation and maintenance electricians,Unit electrical engineer
2123/99,Electrical engineers n.e.c.,Works electrical engineer
5241/03,Installation and maintenance electricians,Electrical engineer
3512/02,Marine engineers,Electrical engineer
3512/02,Marine engineers,Electrical engineer
2123/99,Electrical engineers n.e.c.,Electrical engineer
5241/03,Installation and maintenance electricians,Electrical engineer
2123/99,Electrical engineers n.e.c.,Electrical and mechanical engineer
5241/02,Electro-mechanical technicians,Electrical and mechanical engineer
2123/99,Electrical engineers n.e.c.,Electro-mechanical engineer
5241/02,Electro-mechanical technicians,Electro-mechanical engineer
2124/99,Electronics engineers n.e.c. ,Electronic engineer
5249/99,Electrical and electronic trades n.e.c.,Electronic engineer
2124/99,Electronics engineers n.e.c. ,Electronics engineer
5243/00,"TV, video and audio servicers and repairers",Electronics engineer
5249/99,Electrical and electronic trades n.e.c.,Electronics engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Grain elevators engineer
2129/05,Energy engineers ,Renewable energy engineer
2152/02,Environmental and geo-environmental engineers,Environmental engineer
5223/03,Catering equipment technicians,Catering equipment engineer
2123/99,Electrical engineers n.e.c.,Equipment engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Erection engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Estate engineer
3541/02,Estimators ,Estimating engineer
3115/00,Quality assurance technicians ,Evaluation engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Excavator engineer
5242/00,Telecoms and related network installers and repairers,Telephone exchange engineer
3112/99,Electrical and electronics technicians n.e.c.,Executive engineer
2129/99,Engineering professionals n.e.c.,Experimental engineer
2125/99,Production and process engineers n.e.c.,Explosive engineer
8159/06,Demolition operatives,Explosives engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Fire extinguisher engineer
8114/99,Plastics process operatives n.e.c.,Extrusion engineer
5319/99,Construction and building trades n.e.c.,Fabric engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Fabrication engineer
2129/99,Engineering professionals n.e.c.,Human factors engineer
5246/00,Electrical service and maintenance mechanics and repairers,Fax engineer
5242/00,Telecoms and related network installers and repairers,Home service field engineer
5244/00,Computer system and equipment installers and servicers,Field engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Field engineer
2123/99,Electrical engineers n.e.c.,Field engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Field engineer
2121/99,Civil engineers n.e.c.,Field engineer
5243/00,"TV, video and audio servicers and repairers",Field engineer
5242/00,Telecoms and related network installers and repairers,Field engineer
5249/99,Electrical and electronic trades n.e.c.,Field engineer
5241/03,Installation and maintenance electricians,Film engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Filter engineer
2433/99,"Actuaries, economists and statisticians n.e.c.",Financial engineer
3313/99,Fire service officers (watch manager and below) n.e.c.,Fire engineer
5245/00,Security system installers and repairers,Fire and security engineer
2134/03,Software developers,Firmware engineer
3512/02,Marine engineers,First engineer
2123/02,Power systems engineers,First engineer
3512/02,Marine engineers,First engineer
5236/00,Rail and rolling stock builders and repairers,Fleet engineer
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Fleet engineer
3512/02,Marine engineers,Flight engineer
3511/99,Aircraft pilots and air traffic controllers n.e.c.,Flight engineer
2121/02,Geotechnical engineers,Drilling fluids engineer
2129/99,Engineering professionals n.e.c.,Forensic engineer
5223/07,Hydraulic technicians,Forklift engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Foundry engineer
5241/99,Electricians and electrical fitters n.e.c.,Dual fuel engineer
2129/05,Energy engineers ,Fuel engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Furnace engineer
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Garage engineer
5315/00,Plumbers and heating and ventilation installers and repairers,British gas engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Domestic gas engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Emergency gas engineer
2121/03,Mining engineers ,Natural gas engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Technical gas engineer
2129/07,Gas engineers (professional),Gas engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Gas engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Gas and heating engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Gas and water engineer
2123/02,Power systems engineers,Generating engineer
2113/03,Biotechnologists,Genetic engineer
2152/02,Environmental and geo-environmental engineers,Geoenvironmental engineer
2114/02,Geophysicists ,Geophysical engineer
2121/02,Geotechnical engineers,Geotechnical engineer
2129/09,Materials engineers,Glass engineer
5246/00,Electrical service and maintenance mechanics and repairers,White goods engineer
}}}}/}},}}}}/}},Grade i engineer
}}}}/}},}}}}/}},Grade ii engineer
}}}}/}},}}}}/}},Grade iii engineer
5221/99,Metal machining setters and setter-operators n.e.c.,Grinding engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Ground engineer
}}}}/}},}}}}/}},Group engineer
}}}}/}},}}}}/}},Materials handling engineer
2124/99,Electronics engineers n.e.c. ,Computer hardware engineer
5244/00,Computer system and equipment installers and servicers,Hardware engineer
2121/99,Civil engineers n.e.c.,Public health engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Heat and domestic engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Central heating engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Gas heating engineer
2129/08,Heating and ventilating engineers (professional),Heating engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Heating engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Heating and lighting engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Heating and plumbing engineer
2129/08,Heating and ventilating engineers (professional),Heating and ventilating engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Heating and ventilating engineer
2122/99,Mechanical engineers n.e.c.,Heavy engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Heavy engineer
5234/00,Aircraft maintenance and related trades ,Helicopter engineer
5231/03,Heavy and large vehicle technicians,Hgv engineer
2121/05,Transportation engineers ,Highway engineer
2121/05,Transportation engineers ,Highways engineer
2122/01,Automotive engineers (professional),Automotive homologation engineer
2122/01,Automotive engineers (professional),Homologation engineer
5224/03,"Horologists, watch makers and repairers",Horological engineer
