SOC_2020_ext,SOC2020_ext_SUG_title,INDEXOCC_-_natural_word_order
2129/99,Engineering professionals n.e.c.,Horticultural engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Horticultural engineer
5223/11,Textile machine technicians,Hosiery engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Hospital engineer
2134/99,Programmers and software development professionals n.e.c.,Web hosting engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Trinity house engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Hovercraft engineer
2129/08,Heating and ventilating engineers (professional),Hvac engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Hvac engineer
2122/99,Mechanical engineers n.e.c.,Hydraulic engineer
3512/02,Marine engineers,Hydraulic engineer
5223/07,Hydraulic technicians,Hydraulic engineer
8134/02,Water treatment operatives,Water hygiene engineer
2123/99,Electrical engineers n.e.c.,Illuminating engineer
5241/03,Installation and maintenance electricians,Illuminating engineer
